GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reconx,com.dbtraining.reconx.config,OpenApiConfig,0,46,0,0,0,12,0,2,0,2
reconx,com.dbtraining.reconx.controller,TradeController,52,9,2,0,10,4,6,1,5,1
reconx,com.dbtraining.reconx.controller,DlqAdminController,40,23,2,0,11,6,1,3,0,3
reconx,com.dbtraining.reconx.controller,RebuildAdminController,5,6,0,0,1,3,1,1,1,1
reconx,com.dbtraining.reconx.controller,ReconController,12,6,0,0,3,1,3,1,3,1
reconx,com.dbtraining.reconx.controller,AuthController,46,12,0,0,5,5,3,1,3,1
reconx,com.dbtraining.reconx.controller,AuditController,2,14,0,0,1,5,1,2,1,2
reconx,com.dbtraining.reconx.repository,TradeSpecifications,69,0,12,0,11,0,12,0,6,0
reconx,com.dbtraining.reconx.security,SecurityConfig,0,228,0,0,0,20,0,7,0,7
reconx,com.dbtraining.reconx.security,JwtTokenProvider,5,58,0,0,1,21,1,3,1,3
reconx,com.dbtraining.reconx.security,JwtAuthenticationFilter,2,63,1,3,2,14,1,3,0,2
reconx,com.dbtraining.reconx,ReconxApplication,5,3,0,0,2,1,1,1,1,1
reconx,com.dbtraining.reconx.model,TradeType,16,0,0,0,4,0,3,0,3,0
reconx,com.dbtraining.reconx.model,DlqMessage.Builder,48,0,0,0,10,0,10,0,10,0
reconx,com.dbtraining.reconx.model,TradeType.AssetClass,27,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.model,DlqMessage,66,3,0,0,20,1,11,1,11,1
reconx,com.dbtraining.reconx.model,Money,89,0,4,0,13,0,7,0,5,0
reconx,com.dbtraining.reconx.model,BondTrade.Builder,105,0,2,0,21,0,12,0,11,0
reconx,com.dbtraining.reconx.model,DerivativeTrade,161,0,4,0,30,0,19,0,17,0
reconx,com.dbtraining.reconx.model,FXTrade,139,0,4,0,26,0,17,0,15,0
reconx,com.dbtraining.reconx.model,Side,15,0,0,0,2,0,1,0,1,0
reconx,com.dbtraining.reconx.model,ReconciliationRule,122,0,10,0,20,0,10,0,5,0
reconx,com.dbtraining.reconx.model,DerivativeTrade.OptionType,15,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.model,EquityTrade,132,0,4,0,26,0,17,0,15,0
reconx,com.dbtraining.reconx.model,DerivativeTrade.Builder,133,0,6,0,25,0,15,0,12,0
reconx,com.dbtraining.reconx.model,EquityTrade.Builder,106,0,4,0,20,0,13,0,11,0
reconx,com.dbtraining.reconx.model,BondTrade,141,0,4,0,27,0,18,0,16,0
reconx,com.dbtraining.reconx.model,FXTrade.Builder,105,0,4,0,19,0,12,0,10,0
reconx,com.dbtraining.reconx.model,TradeRef,39,0,2,0,9,0,5,0,4,0
reconx,com.dbtraining.reconx.model,TradeFactory,251,0,4,0,49,0,8,0,5,0
reconx,com.dbtraining.reconx.model,TradeEventConverter,32,12,4,0,10,2,4,2,2,2
reconx,com.dbtraining.reconx.repository.entity,Counterparty,27,3,0,0,8,1,8,1,8,1
reconx,com.dbtraining.reconx.repository.entity,AppUser,18,7,0,0,6,3,6,1,6,1
reconx,com.dbtraining.reconx.repository.entity,ReconBreak,39,6,0,0,13,2,10,1,10,1
reconx,com.dbtraining.reconx.repository.entity,AuditLogEntry,6,45,0,0,2,16,2,8,2,8
reconx,com.dbtraining.reconx.repository.entity,Instrument,18,3,0,0,6,1,6,1,6,1
reconx,com.dbtraining.reconx.repository.entity,Trade,79,6,0,0,23,2,23,1,23,1
reconx,com.dbtraining.reconx.exception,DuplicateTradeRefException,5,0,0,0,2,0,1,0,1,0
reconx,com.dbtraining.reconx.exception,GlobalExceptionHandler,41,8,0,0,8,2,6,2,6,2
reconx,com.dbtraining.reconx.exception,TradeNotFoundException,0,5,0,0,0,2,0,1,0,1
reconx,com.dbtraining.reconx.exception,InvalidTradeException,4,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.exception,ReconException,5,4,0,0,1,1,1,1,1,1
reconx,com.dbtraining.reconx.exception,ReconciliationMismatchException,4,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.kafka,ReconciliationConsumer,5,43,2,1,1,9,2,3,0,3
reconx,com.dbtraining.reconx.kafka,KafkaConsumerConfig,0,117,0,0,0,27,0,5,0,5
reconx,com.dbtraining.reconx.kafka,DlqConsumer,72,10,0,0,15,4,1,2,1,2
reconx,com.dbtraining.reconx.kafka,KafkaErrorHandlerConfig,0,47,0,0,0,8,0,3,0,3
reconx,com.dbtraining.reconx.kafka,NoopAlertSink,1,3,0,0,1,1,1,1,1,1
reconx,com.dbtraining.reconx.kafka,AlertConsumer,25,10,0,0,4,4,1,2,1,2
reconx,com.dbtraining.reconx.kafka,KafkaTopicsConfig,0,35,0,0,0,5,0,5,0,5
reconx,com.dbtraining.reconx.kafka,TradeEventProducer,25,72,2,2,2,16,2,4,0,4
reconx,com.dbtraining.reconx.kafka,AuditEventConsumer,2,47,1,1,0,14,1,4,0,4
reconx,com.dbtraining.reconx.observability,MdcFilter,7,37,4,2,0,11,3,3,0,3
reconx,com.dbtraining.reconx.observability,KafkaHealthIndicator,49,7,0,0,14,3,1,1,1,1
reconx,com.dbtraining.reconx.observability,DatabaseHealthIndicator,28,6,0,0,6,1,1,1,1,1
reconx,com.dbtraining.reconx.observability,TradeMetrics,14,31,0,0,4,13,3,1,3,1
reconx,com.dbtraining.reconx.dto,TradeEvent,10,41,0,0,2,5,1,3,1,3
reconx,com.dbtraining.reconx.dto,PagedResponse,36,0,0,0,7,0,2,0,2,0
reconx,com.dbtraining.reconx.dto,ReconResult.Status,15,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,LoginRequest,9,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,TradeRequest,27,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,TradeEvent.EventType,0,21,0,0,0,2,0,1,0,1
reconx,com.dbtraining.reconx.dto,TradeResponse,45,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,SystemAlert,15,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,TradeMapperImpl,138,3,10,0,48,1,10,1,5,1
reconx,com.dbtraining.reconx.dto,ReconRunRequest,12,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.dto,ReconResult,31,0,0,0,3,0,3,0,3,0
reconx,com.dbtraining.reconx.dto,LoginResponse,15,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.service,TradeRebuildService,215,22,4,0,41,8,6,2,4,2
reconx,com.dbtraining.reconx.service,TradeAnalyticsService.NotionalSummary,9,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.service,TradeService,355,21,6,0,68,8,15,1,12,1
reconx,com.dbtraining.reconx.service,InstrumentService,15,6,0,0,2,1,2,1,2,1
reconx,com.dbtraining.reconx.service,AuditQueryService,7,50,0,2,2,17,0,5,0,4
reconx,com.dbtraining.reconx.service,TradeAggregator,9,103,2,9,3,20,2,8,0,4
reconx,com.dbtraining.reconx.service,TradeAnalyticsService,163,3,22,0,30,1,20,1,8,1
reconx,com.dbtraining.reconx.service,ReconciliationEngine,266,12,20,0,37,4,23,3,12,3
